test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
D7.5,split_10,split_50,100,7.725634118410284e-266,2,404.9511073965733,136.83015330348348,-34.44779649819982,0.9995824634655532,0.9950611321626999
D7.5,split_30,split_10,100,4.8456159958257924e-200,0,291.2918660287081,90.00495939165316,-30.704012733673704,0.9994689325544344,1.0
D7.5,split_30,split_30,100,0.0,1,643.3013282732447,313.8574231901616,-36.25539304894294,1.0,0.9984455185213371
D7.5,split_30,split_50,100,0.0,0,840.9285083848191,415.8491773364333,-41.237388325604826,0.9997059688326962,1.0
D7.5,split_50,split_10,100,1.116971474719571e-235,0,314.82698357217754,69.11591647539977,-37.868919414774446,1.0,1.0
D7.5,split_50,split_30,100,0.0,1,770.4436756158317,328.3373102303058,-42.46359081741464,0.9997233748271093,0.9987020465847802
D7.5,split_50,split_50,100,0.0,0,1073.0203242749485,525.6109645797766,-46.80322074910358,1.0,1.0
D4,split_10,split_10,100,1.9964118550463735e-165,0,258.63529411764705,104.68747850621234,-25.27786673357349,0.9992169146436961,1.0
D4,split_10,split_30,100,4.650824146454542e-301,1,503.01675702316413,249.1591919971167,-31.80385442970772,1.0,0.9980119946581542
D4,split_10,split_50,100,0.0,0,615.9140708915145,271.39679588052024,-37.38675464358516,0.9996422182468694,1.0
D4,split_30,split_10,100,6.967389169906444e-240,0,317.04885343968095,66.64644270966187,-38.836286845364334,0.9996678844237795,1.0
D4,split_30,split_30,100,0.0,3,784.0985915492957,326.5230006264504,-43.22638978187015,1.0,0.996173950530797
D4,split_30,split_50,100,0.0,1,1099.1665562182461,533.5106969071649,-47.544101865893,0.9997792007065578,0.9990902197721149
D4,split_50,split_10,100,1.700641638284469e-272,2,333.12538989394886,46.032619098024334,-48.80447439443352,0.9997921430056121,0.993996254681648
D4,split_50,split_30,100,0.0,1,890.5200431421895,284.889562019358,-52.70083174991031,1.0,0.9988770606482124
D4,split_50,split_50,100,0.0,2,1320.8629682313892,551.2594839136142,-56.172226321244935,0.9998419971559488,0.9984858383889148
D18,split_10,split_10,100,9.216934762086063e-113,0,186.5234899328859,93.14801832250473,-19.32621126470074,0.998661311914324,1.0
D18,split_10,split_30,100,7.089695160715902e-179,3,287.3455637091394,109.92668993936401,-27.12032448693097,1.0,0.989559609129596
D18,split_10,split_50,100,9.538003468294922e-215,4,320.3305346884666,90.48325600982791,-33.255004072624,0.9995584988962473,0.9875128981884598
D18,split_30,split_10,100,4.0728495968045147e-175,2,274.1262458471761,99.62883887747071,-27.26326694340136,0.9993364299933643,0.9927040915260811
D18,split_30,split_30,100,0.0,1,565.1221779548473,282.49707916568474,-33.563418876629875,1.0,0.9982304711458698
D18,split_30,split_50,100,0.0,2,711.9378101223949,335.0834211663349,-38.78321753135428,0.9996694214876033,0.9971907658624618
D18,split_50,split_10,100,1.8531282180236635e-210,2,302.94039735099335,80.83954392384159,-33.47099036082568,0.9995588883987648,0.9933980412731724
D18,split_50,split_30,100,0.0,1,703.0443855581318,327.1914906723586,-38.8117808374387,1.0,0.9985776146989551
D18,split_50,split_50,100,0.0,2,946.1982553528945,473.0732293983118,-43.41092174651489,0.9997357992073976,0.9978862780726074
D3.5,split_10,split_10,100,1.5638718939840772e-147,4,249.06437768240343,106.24935486266638,-23.774808985149186,1.0,0.9839398952302179
D3.5,split_10,split_30,100,2.035838443837842e-273,4,467.53886280646844,227.8068400747355,-30.711623214535386,0.9994788952579469,0.9914445614724101
D3.5,split_10,split_50,100,0.0,10,564.1699590011182,237.01870397636867,-35.99578671896398,1.0,0.9822748449461837
D3.5,split_30,split_10,100,9.313909953497807e-219,5,312.00840950639855,71.01151788745415,-36.432239963579924,0.999634636463281,0.9839747909105717
D3.5,split_30,split_30,100,0.0,5,758.2691315563198,329.34545841102334,-41.50728540051631,1.0,0.9934060351504251
D3.5,split_30,split_50,100,0.0,15,1049.0545497296027,517.2742384185602,-45.46561026619919,0.9997649823736781,0.9857014108524039
D3.5,split_50,split_10,100,6.702934822896374e-257,5,329.636965958419,49.52269365042902,-46.131315717839335,0.9997716373601279,0.9848317982618773
D3.5,split_50,split_30,100,0.0,5,871.7885402455662,296.0200703307661,-50.37935258550495,1.0,0.9942646642285621
D3.5,split_50,split_50,100,0.0,13,1279.6714164546227,555.3298023670543,-53.751239058541564,0.999830422248601,0.9898411421613081
D1.5,split_10,split_10,100,8.006197292922488e-69,4,123.72943327239489,55.72566320967201,-16.038852885261726,1.0,0.9676713947990544
D1.5,split_10,split_30,100,5.84471162306957e-102,7,160.22401847575057,39.33926303476008,-24.42945273828182,0.9992313604919293,0.9563111694077288
D1.5,split_10,split_50,100,8.336970910573171e-113,12,170.97530266343827,28.17409483101394,-29.950541203316877,1.0,0.9298144245802461
D1.5,split_30,split_10,100,1.4416329819433872e-107,14,218.4446878422782,104.28021286205947,-20.02049799874602,0.9989071038251366,0.9359105495387083
D1.5,split_30,split_30,100,2.240067682924266e-196,17,370.55488902219554,164.49293800508045,-27.566600874950577,1.0,0.9541228560096484
D1.5,split_30,split_50,100,2.917040830376254e-242,20,427.97696421225834,150.46216956124198,-33.25997987792014,0.9995889847924373,0.9532685128583677
D1.5,split_50,split_10,100,4.9812702493281953e-144,12,262.01667930250187,103.85835011907004,-24.5328652282358,0.9992429977289932,0.9542013888888888
D1.5,split_50,split_30,100,5.0934047529271e-268,21,515.9638205499276,256.59362655328636,-30.89943389525139,1.0,0.9592994718551823
D1.5,split_50,split_50,100,0.0,24,635.4881917518505,284.4513253363562,-36.2563511249431,0.9996477632969355,0.9622337593184238
D14.5,split_10,split_10,100,3.392767414238829e-87,4,157.74647887323943,77.63329707388426,-17.449426699397844,1.0,0.9746428571428571
D14.5,split_10,split_30,100,1.4871660726839213e-144,3,223.24011502516174,71.43687378174556,-26.05764750401322,0.9992821249102656,0.9865615550338618
D14.5,split_10,split_50,100,2.3393250087789213e-171,4,243.78303198887343,54.92935837930322,-32.353121176209406,1.0,0.983591967138293
D14.5,split_30,split_10,100,3.5512956056489294e-153,2,250.56731583403894,106.07873188878878,-24.13403081508997,0.9991546914623838,0.9920181130035145
D14.5,split_30,split_30,100,4.484064432783225e-279,3,473.384496124031,231.37040525036596,-30.924244286384468,1.0,0.9936626568369616
D14.5,split_30,split_50,100,0.0,2,571.9585031493145,242.16875848843543,-36.62555206102669,0.9996297667530544,0.9965032428244573
D14.5,split_50,split_10,100,1.0679929935482784e-192,0,285.2515905147484,93.90065813628136,-29.437014145859038,0.9994222992489891,1.0
D14.5,split_50,split_30,100,0.0,3,614.5481272654048,303.95393196142743,-35.07734850782932,1.0,0.99511836442599
D14.5,split_50,split_50,100,0.0,2,792.3806590699107,386.4867354138651,-40.203976252744916,0.9996922129886119,0.9974759606041526
